Data;Papel moeda em circulação;Reservas bancárias;Base monetária restrita;Indicadores da produção;Índice de Commodities
nov/85;17.789.000.000;15.235.000.000;33.024.000.000;-;-
dez/85;26.436.000.000;17.421.000.000;43.857.000.000;-;-
jan/86;26.759.000.000;23.729.000.000;50.488.000.000;-;-
fev/86;29.792.000.000;22.203.000.000;51.995.000.000;-;-
mar/86;33.332.000;25.665.000;58.997.000;-;-
abr/86;39.823.000;41.066.000;80.889.000;-;-
mai/86;45.485.000;54.527.000;100.012.000;-;-
jun/86;50.682.000;63.993.000;114.675.000;-;-
jul/86;54.981.000;71.667.000;126.648.000;-;-
ago/86;57.730.000;79.964.000;137.694.000;-;-
set/86;64.659.000;87.720.000;152.379.000;-;-
out/86;66.304.000;88.172.000;154.476.000;-;-
nov/86;71.527.000;88.427.000;159.954.000;-;-
dez/86;89.326.000;82.203.000;171.529.000;-;-
jan/87;81.560.000;90.110.000;171.670.000;-;-
fev/87;74.710.000;78.936.000;153.646.000;-;-
mar/87;78.819.000;83.250.000;162.069.000;-;-
abr/87;87.465.000;84.801.000;172.266.000;-;-
mai/87;89.231.000;83.117.000;172.348.000;-;-
jun/87;96.617.000;67.796.000;164.413.000;-;-
jul/87;115.817.000;84.865.000;200.682.000;-;-
ago/87;128.452.000;117.893.000;246.345.000;-;-
set/87;139.097.000;146.887.000;285.984.000;-;-
out/87;155.567.000;168.128.000;323.695.000;-;-
nov/87;172.036.000;195.810.000;367.846.000;-;-
dez/87;248.190.000;218.023.000;466.213.000;-;-
jan/88;243.000.000;258.000.000;501.000.000;-;-
fev/88;260.000.000;240.000.000;500.000.000;-;-
mar/88;274.000.000;253.000.000;527.000.000;-;-
abr/88;316.000.000;299.000.000;615.000.000;-;-
mai/88;371.000.000;354.000.000;725.000.000;-;-
jun/88;423.000.000;414.000.000;837.000.000;-;-
jul/88;515.000.000;463.000.000;978.000.000;-;-
ago/88;578.000.000;524.000.000;1.102.000.000;-;-
set/88;727.000.000;603.000.000;1.330.000.000;-;-
out/88;912.000.000;767.000.000;1.679.000.000;-;-
nov/88;1.141.000.000;911.000.000;2.052.000.000;-;-
dez/88;1.971.000.000;1.141.000.000;3.112.000.000;-;-
jan/89;2.247.000;1.707.000;3.954.000;-;-
fev/89;2.856.000;2.150.000;5.006.000;-;-
mar/89;3.114.000;2.526.000;5.640.000;-;-
abr/89;3.558.000;3.084.000;6.642.000;-;-
mai/89;4.437.000;3.756.000;8.193.000;-;-
jun/89;5.149.000;4.559.000;9.708.000;-;-
jul/89;5.966.000;4.773.000;10.739.000;-;-
ago/89;7.204.000;5.561.000;12.765.000;-;-
set/89;9.532.000;6.512.000;16.044.000;-;-
out/89;12.659.000;8.347.000;21.006.000;-;-
nov/89;17.887.000;10.843.000;28.730.000;-;-
dez/89;36.484.000;16.201.000;52.685.000;-;-
jan/90;44.394.000;29.356.000;73.750.000;-;-
fev/90;71.299.000;39.214.000;110.513.000;-;-
mar/90;147.067.000;61.156.000;208.223.000;-;-
abr/90;341.333.000;146.579.000;487.912.000;-;-
mai/90;454.020.000;206.626.000;660.646.000;-;-
jun/90;492.523.000;261.237.000;753.760.000;-;-
jul/90;474.244.000;286.651.000;760.895.000;-;-
ago/90;482.377.000;287.130.000;769.507.000;-;-
set/90;593.622.000;366.446.000;960.068.000;-;-
out/90;604.433.000;412.291.000;1.016.724.000;-;-
nov/90;640.456.000;391.588.000;1.032.044.000;-;-
dez/90;920.903.000;469.363.000;1.390.266.000;-;-
jan/91;913.163.000;531.191.000;1.444.354.000;-;-
fev/91;1.069.223.000;575.411.000;1.644.634.000;-;-
mar/91;1.251.924.000;741.230.000;1.993.154.000;-;-
abr/91;1.288.152.000;835.089.000;2.123.241.000;-;-
mai/91;1.376.248.000;852.405.000;2.228.653.000;-;-
jun/91;1.507.742.000;914.285.000;2.422.027.000;-;-
jul/91;1.649.317.000;1.055.346.000;2.704.663.000;-;-
ago/91;1.736.339.000;1.074.521.000;2.810.860.000;-;-
set/91;2.071.655.000;1.198.960.000;3.270.615.000;-;-
out/91;2.262.896.000;1.344.693.000;3.607.589.000;-;-
nov/91;2.553.605.000;1.419.089.000;3.972.694.000;-;-
dez/91;3.721.482.000;1.807.135.000;5.528.617.000;-;-
jan/92;3.692.364.955;2.397.871.409;6.090.236.364;-;-
fev/92;4.293.934.350;2.484.835.400;6.778.769.750;-;-
mar/92;4.864.823.900;3.061.807.350;7.926.631.250;-;-
abr/92;5.752.815.000;3.548.042.895;9.300.857.895;-;-
mai/92;6.719.978.850;4.458.793.150;11.178.772.000;-;-
jun/92;8.778.602.619;5.169.322.810;13.947.925.429;-;-
jul/92;10.497.312.609;6.447.153.348;16.944.465.957;-;-
ago/92;12.255.882.095;7.429.914.333;19.685.796.429;-;-
set/92;14.727.384.714;8.840.407.381;23.567.792.095;-;-
out/92;20.279.888.810;11.109.516.143;31.389.404.952;-;-
nov/92;24.316.842.300;13.291.403.250;37.608.245.550;-;-
dez/92;40.373.603.409;18.921.608.727;59.295.212.136;-;-
jan/93;40.029.973.650;23.678.052.150;63.708.025.800;-;-
fev/93;50.802.945.667;24.498.204.222;75.301.149.889;-;-
mar/93;59.348.357.478;30.677.551.261;90.025.908.739;-;-
abr/93;78.085.307.632;34.151.892.632;112.237.200.263;-;-
mai/93;93.064.638.333;46.355.985.238;139.420.623.571;-;-
jun/93;127.112.404.905;57.119.998.524;184.232.403.429;-;-
jul/93;159.630.971.682;78.909.122.136;238.540.093.818;-;-
ago/93;203.929.843;94.154.153;298.083.996;-;-
set/93;268.519.664;120.847.470;389.367.134;-;-
out/93;365.641.206;163.314.042;528.955.248;-;-
nov/93;509.508.606;212.603.294;722.111.901;-;-
dez/93;980.126.128;349.914.358;1.330.040.487;-;-
jan/94;1.070.641.378;419.140.400;1.489.781.778;-;-
fev/94;1.484.427.823;571.751.593;2.056.179.416;-;-
mar/94;1.882.273.916;697.703.518;2.579.977.434;-;-
abr/94;2.705.580.297;960.700.906;3.666.281.203;-;-
mai/94;3.772.211.049;1.511.717.780;5.283.928.829;-;-
jun/94;5.685.370.564;2.354.883.388;8.040.253.952;-;-
jul/94;4.083.313;2.411.753;6.495.066;-;-
ago/94;5.107.238;3.963.232;9.070.471;-;-
set/94;5.938.672;5.294.374;11.233.046;-;-
out/94;6.504.927;6.330.175;12.835.101;-;-
nov/94;6.915.612;7.094.499;14.010.110;-;-
dez/94;9.170.040;8.094.973;17.265.013;-;-
jan/95;8.698.949;8.164.539;16.863.488;-;-
fev/95;8.474.814;7.325.713;15.800.526;-;-
mar/95;8.095.500;7.565.330;15.660.830;-;-
abr/95;8.076.200;6.458.955;14.535.154;-;-
mai/95;7.904.811;6.528.484;14.433.295;-;-
jun/95;8.446.690;6.219.752;14.666.442;-;-
jul/95;8.898.141;6.484.204;15.382.345;-;-
ago/95;8.996.634;5.983.996;14.980.630;-;-
set/95;9.418.884;5.600.527;15.019.411;-;-
out/95;9.704.096;6.557.488;16.261.584;-;-
nov/95;10.147.015;6.596.280;16.743.294;-;-
dez/95;13.154.707;7.590.940;20.745.648;-;-
jan/96;12.233.881;8.275.680;20.509.561;-;-
fev/96;11.809.692;6.668.027;18.477.719;-;-
mar/96;11.435.808;6.591.831;18.027.639;-;-
abr/96;11.476.202;5.966.015;17.442.217;-;-
mai/96;11.594.245;6.010.848;17.605.092;-;-
jun/96;12.087.581;5.361.156;17.448.736;-;-
jul/96;12.418.300;5.280.509;17.698.808;-;-
ago/96;12.617.155;4.228.610;16.845.765;-;-
set/96;13.059.502;4.183.275;17.242.777;-;-
out/96;13.315.699;4.337.454;17.653.153;-;-
nov/96;13.651.768;3.207.254;16.859.022;-;-
dez/96;16.779.827;3.325.990;20.105.817;-;-
jan/97;16.265.750;4.354.311;20.620.060;-;-
fev/97;16.013.415;6.596.646;22.610.062;-;-
mar/97;15.837.506;8.859.477;24.696.983;-;-
abr/97;15.478.935;9.192.859;24.671.794;-;-
mai/97;15.539.641;8.910.669;24.450.310;-;-
jun/97;15.613.609;9.093.635;24.707.245;-;-
jul/97;15.867.420;9.926.473;25.793.893;-;-
ago/97;15.855.679;9.130.476;24.986.155;-;-
set/97;15.961.256;10.190.233;26.151.489;-;-
out/97;16.120.489;10.535.324;26.655.813;-;-
nov/97;16.368.661;9.648.403;26.017.065;-;-
dez/97;19.972.300;12.310.773;32.283.073;-;-
jan/98;18.745.702;14.835.743;33.581.444;-;39,19
fev/98;17.984.003;13.949.700;31.933.702;-;38,98
mar/98;17.248.790;13.605.916;30.854.706;-;38,16
abr/98;17.331.082;13.523.163;30.854.245;-;38,1
mai/98;17.377.385;14.975.349;32.352.734;-;38,21
jun/98;17.868.453;15.240.758;33.109.211;-;36,67
jul/98;18.245.486;15.233.502;33.478.989;-;36,11
ago/98;18.352.907;15.581.851;33.934.758;-;35,77
set/98;18.850.282;15.753.836;34.604.118;-;35,21
out/98;19.482.631;15.357.125;34.839.756;-;35,7
nov/98;19.441.273;13.998.463;33.439.736;-;35,75
dez/98;23.550.015;15.735.378;39.285.393;-;34,84
jan/99;22.220.552;16.890.224;39.110.776;-;43,05
fev/99;22.350.435;16.827.188;39.177.623;-;53,12
mar/99;21.225.722;16.390.792;37.616.515;-;51,53
abr/99;20.345.329;16.113.309;36.458.639;-;45,5
mai/99;20.075.669;15.430.051;35.505.720;-;45,16
jun/99;20.499.858;16.042.856;36.542.714;-;47,38
jul/99;21.171.420;17.882.973;39.054.392;-;46,72
ago/99;21.015.529;18.035.411;39.050.940;-;50,59
set/99;21.085.277;17.955.892;39.041.169;-;52,19
out/99;21.415.711;15.596.225;37.011.937;-;54,73
nov/99;21.808.544;16.153.580;37.962.124;-;54,35
dez/99;27.306.765;18.100.560;45.407.325;-;51,87
jan/00;26.403.210;19.350.049;45.753.259;-;51,41
fev/00;24.284.532;17.912.611;42.197.143;-;50,22
mar/00;23.639.771;17.266.050;40.905.821;-;49,51
abr/00;23.575.635;14.973.613;38.549.248;-;50,31
mai/00;23.512.130;14.948.241;38.460.371;-;53,18
jun/00;23.890.103;14.033.602;37.923.705;-;53,55
jul/00;24.317.046;12.823.737;37.140.782;-;53,56
ago/00;24.290.244;13.564.437;37.854.681;-;53,82
set/00;24.804.351;13.256.045;38.060.397;-;55,32
out/00;25.242.074;14.056.655;39.298.729;-;57,1
nov/00;25.594.312;14.411.250;40.005.562;-;59,02
dez/00;30.814.600;15.488.927;46.303.526;-;60,89
jan/01;29.849.943;16.608.594;46.458.537;-;60,81
fev/01;28.547.567;15.752.661;44.300.228;-;61,36
mar/01;27.646.365;15.659.660;43.306.025;-;61,26
abr/01;27.703.612;15.839.778;43.543.390;-;63,21
mai/01;27.748.049;15.887.997;43.636.046;-;66,07
jun/01;28.283.707;15.652.412;43.936.119;-;68,09
jul/01;28.870.734;16.133.017;45.003.752;-;69,56
ago/01;28.841.699;16.168.620;45.010.319;-;69,23
set/01;29.272.323;15.860.479;45.132.802;-;69,58
out/01;29.598.363;15.832.014;45.430.376;-;67,82
nov/01;29.962.868;15.623.819;45.586.687;-;64,33
dez/01;35.870.597;16.975.624;52.846.221;-;59,7
jan/02;34.632.282;17.665.422;52.297.704;72,4;61,05
fev/02;33.256.258;16.799.933;50.056.190;69,7;60,73
mar/02;32.926.959;16.444.528;49.371.487;77,4;58,55
abr/02;32.400.876;16.197.577;48.598.453;79,6;56,23
mai/02;32.544.921;16.719.583;49.264.504;80,4;60,35
jun/02;33.715.470;16.861.700;50.577.170;77,5;66,65
jul/02;35.472.925;18.746.665;54.219.591;83,3;75,86
ago/02;36.739.190;19.526.927;56.266.117;83,6;80,62
set/02;37.827.600;20.337.176;58.164.776;82,1;89,93
out/02;39.665.884;20.940.947;60.606.831;89,2;103,93
nov/02;40.748.550;20.595.777;61.344.327;83,9;101,27
dez/02;47.789.939;22.110.639;69.900.577;74,6;104,56
jan/03;46.311.079;22.574.879;68.885.958;74;101,45
fev/03;43.112.771;20.979.603;64.092.374;71,8;109,05
mar/03;41.326.044;27.964.089;69.290.133;77,4;100,18
abr/03;40.519.458;26.852.152;67.371.609;76,5;90,84
mai/03;39.472.319;26.726.819;66.199.137;79,7;87,33
jun/03;39.776.878;25.925.673;65.702.551;76,3;83,96
jul/03;40.121.664;26.235.293;66.356.958;81,3;85,02
ago/03;40.498.785;23.993.755;64.492.540;81,6;90,1
set/03;40.811.089;18.039.596;58.850.685;85,7;89,66
out/03;40.900.356;18.315.174;59.215.531;90;91,32
nov/03;41.748.117;19.234.633;60.982.751;84,6;94,54
dez/03;50.092.791;20.708.766;70.801.557;77,9;97,29
jan/04;48.231.324;22.583.319;70.814.643;76,8;93,51
fev/04;47.066.182;21.699.620;68.765.803;74;97,12
mar/04;45.485.388;21.274.082;66.759.470;86,9;101,58
abr/04;46.339.928;21.727.032;68.066.959;82,2;103,32
mai/04;46.563.584;22.031.590;68.595.174;86,3;112,08
jun/04;47.818.994;22.950.108;70.769.103;86,1;112,58
jul/04;49.138.781;22.889.888;72.028.669;90,1;107,88
ago/04;49.519.388;23.000.122;72.519.510;92,1;106,13
set/04;50.236.495;22.961.415;73.197.910;92,1;104,61
out/04;51.571.092;24.295.091;75.866.183;93,5;104,91
nov/04;52.075.739;24.902.051;76.977.791;91,8;103,13
dez/04;61.197.508;26.146.366;87.343.874;84,7;101,43
jan/05;58.670.645;27.313.610;85.984.255;81;101,11
fev/05;56.503.189;26.407.586;82.910.776;76,4;98,34
mar/05;55.093.777;26.327.220;81.420.998;88;106,82
abr/05;54.547.454;25.916.509;80.463.962;87;99,86
mai/05;54.335.448;26.072.324;80.407.772;91,1;93,24
jun/05;54.972.146;25.267.268;80.239.414;91,4;90,22
jul/05;56.206.009;26.312.926;82.518.935;90,5;88,68
ago/05;56.279.773;25.794.009;82.073.782;95,6;90,46
set/05;57.051.857;25.637.735;82.689.592;92;90,96
out/05;58.264.878;25.590.311;83.855.189;93,7;93,09
nov/05;58.542.474;26.596.604;85.139.078;92,4;91,8
dez/05;69.143.357;29.163.073;98.306.431;86,6;100
jan/06;65.938.397;30.716.283;96.654.680;83,7;101,81
fev/06;63.931.144;28.526.908;92.458.052;80,2;97,57
mar/06;61.998.225;28.485.857;90.484.082;92,4;93,81
abr/06;62.541.846;28.383.816;90.925.662;85,7;95,29
mai/06;62.516.150;28.241.208;90.757.357;95,4;99,12
jun/06;63.958.498;29.831.137;93.789.636;91,1;99,63
jul/06;66.013.313;29.514.599;95.527.911;93,8;99,75
ago/06;67.092.749;28.916.470;96.009.219;98,6;97,05
set/06;70.880.891;29.592.864;100.473.756;93,2;94,66
out/06;72.039.952;29.863.270;101.903.222;97,5;95,76
nov/06;72.985.782;31.896.483;104.882.265;95,9;99,88
dez/06;82.881.420;35.423.064;118.304.485;87;100,81
jan/07;80.498.589;35.829.364;116.327.953;87;99,11
fev/07;78.485.628;33.465.489;111.951.118;82,6;98,79
mar/07;75.677.399;33.345.725;109.023.124;96,4;98,75
abr/07;75.912.051;34.781.999;110.694.050;90,6;95,87
mai/07;76.066.552;35.234.725;111.301.277;99,9;93,91
jun/07;77.560.949;35.633.990;113.194.939;96,9;92,03
jul/07;79.218.210;37.239.627;116.457.837;99,8;91,58
ago/07;79.703.519;37.721.709;117.425.227;104,9;93,84
set/07;83.916.561;39.264.068;123.180.629;98,4;94,42
out/07;84.693.929;39.651.044;124.344.973;107,8;92,96
nov/07;86.140.634;41.252.305;127.392.938;102,4;92,79
dez/07;98.619.610;45.022.435;143.642.044;92,6;93,82
jan/08;95.181.572;46.676.212;141.857.783;94,8;98
fev/08;91.169.048;41.355.202;132.524.250;91,1;103,45
mar/08;90.364.305;40.446.672;130.810.977;97,7;105,36
abr/08;90.299.591;41.020.125;131.319.717;99,2;105,34
mai/08;91.098.643;41.559.587;132.658.230;102,5;106,03
jun/08;92.270.248;38.796.543;131.066.791;103,3;107,75
jul/08;94.221.554;40.447.335;134.668.890;108,5;104,94
ago/08;95.392.297;38.542.900;133.935.197;106,9;97,28
set/08;98.221.693;39.322.639;137.544.332;107,3;102,22
out/08;99.682.241;40.134.010;139.816.251;108,4;102,97
nov/08;100.534.325;30.065.899;130.600.225;96,2;98,88
dez/08;112.142.144;33.599.522;145.741.666;79,1;97,98
jan/09;107.203.477;34.838.813;142.042.290;78,7;96,97
fev/09;104.318.887;31.542.068;135.860.956;76,1;93,49
mar/09;101.098.219;31.069.595;132.167.815;88,6;91,32
abr/09;101.623.041;30.799.131;132.422.172;85,2;90,71
mai/09;102.412.470;32.359.752;134.772.221;91,3;90,81
jun/09;103.769.902;32.477.392;136.247.294;92,2;87,34
jul/09;104.921.263;33.499.648;138.420.910;97,7;85,87
ago/09;106.233.224;32.483.326;138.716.549;99,6;86,52
set/09;110.261.504;34.876.727;145.138.231;99,4;85,82
out/09;111.550.652;34.020.161;145.570.813;105,6;86,38
nov/09;113.680.969;34.968.057;148.649.026;101,4;87,68
dez/09;128.161.980;39.238.499;167.400.479;94,1;91,77
jan/10;124.316.506;41.071.532;165.388.038;91,2;96,36
fev/10;123.045.865;38.833.198;161.879.063;89;96,7
mar/10;119.570.547;39.150.106;158.720.653;105,1;91,3
abr/10;119.462.155;40.867.172;160.329.327;99,3;90,12
mai/10;119.763.726;40.133.346;159.897.072;104,3;89,37
jun/10;121.274.869;40.776.035;162.050.904;102,5;87,96
jul/10;123.286.999;43.086.525;166.373.525;106,9;89,22
ago/10;125.317.668;43.307.710;168.625.377;108,1;93,76
set/10;129.941.482;43.027.732;172.969.214;105,8;97,74
out/10;132.104.593;44.837.766;176.942.359;107,7;102,18
nov/10;133.092.998;44.740.567;177.833.565;106,8;109,37
dez/10;148.053.707;49.334.581;197.388.288;96,6;114,05
jan/11;142.413.969;49.632.906;192.046.875;93,2;119,03
fev/11;137.584.152;46.292.779;183.876.931;95,4;125,67
mar/11;135.529.426;45.235.376;180.764.802;104,4;124,77
abr/11;135.514.677;44.410.870;179.925.547;97,5;120,59
mai/11;133.636.005;43.967.402;177.603.406;107,1;113,74
jun/11;135.309.433;44.716.284;180.025.717;102,8;111,36
jul/11;136.424.584;43.530.189;179.954.773;106,1;110,25
ago/11;137.258.127;42.461.609;179.719.736;110,8;111,02
set/11;141.884.834;42.391.563;184.276.398;104,8;119,35
out/11;143.731.034;41.739.681;185.470.716;106,3;115,74
nov/11;144.819.241;42.459.956;187.279.197;104,2;114,98
dez/11;160.160.294;45.816.886;205.977.180;95,7;113,62
jan/12;153.970.447;46.614.095;200.584.542;88,7;114,48
fev/12;151.623.354;42.929.658;194.553.012;89,8;111,7
mar/12;147.901.092;42.503.128;190.404.220;99,7;114,1
abr/12;147.515.271;42.062.878;189.578.149;92,8;113,8
mai/12;148.007.869;42.075.992;190.083.861;102,5;115,6
jun/12;150.074.702;42.451.725;192.526.427;98,3;115,24
jul/12;153.472.627;44.008.986;197.481.613;104,5;123,8
ago/12;154.185.220;42.803.052;196.988.272;111,5;124,72
set/12;160.845.785;44.709.108;205.554.893;103,4;126,94
out/12;161.891.062;44.133.873;206.024.936;111,8;125,61
nov/12;161.763.413;44.744.094;206.507.508;104,8;126,94
dez/12;180.418.918;50.450.025;230.868.943;92,2;128,75
jan/13;172.616.875;54.143.617;226.760.492;94,5;126,11
fev/13;169.063.886;45.882.690;214.946.577;88,1;122
mar/13;166.095.210;39.547.165;205.642.375;97,7;120,11
abr/13;164.464.143;41.583.851;206.047.994;101,8;118,01
mai/13;165.309.792;42.597.959;207.907.751;105;118,19
jun/13;166.860.422;37.292.816;204.153.238;101,7;124,03
jul/13;169.294.570;42.249.207;211.543.777;108;126,62
ago/13;170.532.880;42.445.166;212.978.046;112;131,71
set/13;176.114.726;38.849.786;214.964.511;107,3;128,89
out/13;176.672.082;40.347.112;217.019.194;112,6;125,28
nov/13;179.574.744;41.972.606;221.547.350;106,1;129,23
dez/13;198.436.113;41.911.116;240.347.230;90,1;132,85
jan/14;189.959.530;45.665.808;235.625.338;92,6;135,37
fev/14;185.298.262;42.528.418;227.826.681;92,3;140,49
mar/14;183.726.723;39.415.225;223.141.949;97,3;140,66
abr/14;184.156.733;40.908.103;225.064.836;96;136,79
mai/14;181.536.366;41.352.808;222.889.174;101,7;134,28
jun/14;185.288.894;38.078.155;223.367.049;94,9;133,55
jul/14;185.330.990;40.663.081;225.994.071;104,4;131,3
ago/14;186.682.026;39.660.838;226.342.864;106,3;129,87
set/14;191.296.575;40.517.296;231.813.871;105,6;132,39
out/14;193.558.086;40.629.796;234.187.883;109,3;139,28
nov/14;195.742.773;40.299.281;236.042.054;99,8;144,97
dez/14;215.495.441;43.523.631;259.019.072;87,7;144,54
jan/15;206.614.522;46.528.570;253.143.092;88,1;137,64
fev/15;202.013.242;39.922.996;241.936.239;83,7;143,96
mar/15;199.494.940;41.247.588;240.742.528;94,3;155,69
abr/15;198.811.962;39.499.518;238.311.480;88,8;151,96
mai/15;196.246.181;35.834.304;232.080.485;93,1;153,7
jun/15;196.863.823;36.383.734;233.247.557;92,5;155,07
jul/15;197.022.258;37.058.158;234.080.416;95,5;160,33
ago/15;196.142.451;33.267.878;229.410.329;97,6;168
set/15;196.414.101;34.552.700;230.966.801;94,3;183,62
out/15;203.745.644;33.598.743;237.344.387;97,2;185,03
nov/15;202.744.167;34.324.469;237.068.635;87,6;176,15
dez/15;221.478.453;34.871.906;256.350.359;77,2;178,15
jan/16;213.738.002;37.914.818;251.652.820;76,3;183,39
fev/16;209.170.821;35.100.328;244.271.149;75,8;180,54
mar/16;205.986.421;35.131.361;241.117.782;83,7;170,41
abr/16;204.655.410;32.707.290;237.362.700;83;164,72
mai/16;203.894.991;34.480.740;238.375.730;86,3;166,25
jun/16;202.899.794;33.609.141;236.508.935;87,7;166,98
jul/16;203.970.241;33.538.435;237.508.676;89,6;158,77
ago/16;203.464.608;33.696.853;237.161.461;93;155,61
set/16;209.599.341;33.618.943;243.218.284;90,7;158,33
out/16;210.513.153;33.564.297;244.077.449;90,2;158,07
nov/16;208.952.271;34.494.238;243.446.509;86,5;166,76
dez/16;227.762.297;37.607.423;265.369.719;77,2;170,31
jan/17;219.621.054;40.776.317;260.397.372;77,9;165,23
fev/17;215.589.080;35.982.188;251.571.268;75,9;159,6
mar/17;212.514.760;35.521.165;248.035.925;85,4;156,07
abr/17;214.292.229;34.424.688;248.716.917;79,3;156,15
mai/17;212.960.083;35.090.537;248.050.620;90,1;160,04
jun/17;213.879.003;36.623.230;250.502.233;88,4;159,74
jul/17;215.929.223;35.444.874;251.374.098;92,1;157,57
ago/17;214.306.659;35.558.850;249.865.509;96,7;154,23
set/17;219.062.346;35.382.667;254.445.013;93;157,54
out/17;219.068.490;35.232.272;254.300.762;95,1;162,52
nov/17;220.399.738;36.211.224;256.610.962;90,6;171,15
dez/17;241.913.297;40.378.633;282.291.930;81;169,65
jan/18;234.289.726;42.801.747;277.091.473;82,3;171,2
fev/18;230.063.824;38.610.633;268.674.457;77,3;171,78
mar/18;225.142.627;39.845.672;264.988.299;86,2;169,09
abr/18;223.767.248;38.382.322;262.149.570;86,5;175,83
mai/18;223.529.535;39.894.536;263.424.071;84,4;191,92
jun/18;225.882.018;39.200.588;265.082.605;91,1;197,93
jul/18;227.086.699;40.253.547;267.340.246;95,8;197,04
ago/18;227.774.905;40.142.803;267.917.708;98,2;198,68
set/18;235.941.003;39.292.400;275.233.403;90,7;210,59
out/18;235.896.575;41.565.365;277.461.939;95,8;197,73
nov/18;235.699.026;39.791.365;275.490.392;89,5;192,92
